global_updates,country,new_case,new_death
599 new cases and 9 new deaths in Poland,Poland,599,9
40 new cases and 1 new death in French Guiana,French Guiana,40,1
22 new cases in Sri Lanka,Sri Lanka,22,0
3 new cases in Georgia,Georgia,3,0
"1,457 new cases and 813 new deaths in Brazil",Brazil,1457,813
"5,160 new cases and 165 new deaths in India",India,5160,165
187 new cases and 7 new deaths in Germany,Germany,187,7
"2,993 new cases and 80 new deaths in the United States",the United States,2993,80
1 new case in Channel Islands,Channel Islands,1,0
14 new cases in Libya,Libya,14,0
323 new cases and 5 new deaths in Azerbaijan,Azerbaijan,323,5
"4,696 new cases and 74 new deaths in Chile",Chile,4696,74
111 new cases and 3 new deaths in Zambia,Zambia,111,3
23 new cases in Jordan,Jordan,23,0
72 new cases in Mayotte,Mayotte,72,0
34 new cases and 1 new death in Somalia,Somalia,34,1
14 new cases and 1 new death in Norway,Norway,14,1
13 new cases in Cabo Verde,Cabo Verde,13,0
1 new case in Burkina Faso,Burkina Faso,1,0
9 new cases in Cuba,Cuba,9,0
80 new cases in Tajikistan,Tajikistan,80,0
"1,115 new cases and 24 new deaths in Iraq",Iraq,1115,24
105 new cases and 1 new death in Kenya,Kenya,105,1
73 new cases and 1 new death in Serbia,Serbia,73,1
11 new cases in Liberia,Liberia,11,0
"1,205 new cases and 55 new deaths in the United Kingdom",the United Kingdom,1205,55
654 new cases in Bahrain,Bahrain,654,0
152 new cases in Cameroon,Cameroon,152,0
125 new cases and 6 new deaths in Romania,Romania,125,6
71 new cases and 3 new deaths in Djibouti,Djibouti,71,3
"3,369 new cases and 34 new deaths in Saudi Arabia",Saudi Arabia,3369,34
6 new deaths in Argentina,Argentina,6,0
192 new cases and 6 new deaths in Portugal,Portugal,192,6
19 new cases in Lebanon,Lebanon,19,0
68 new cases and 35 new deaths in Sweden,Sweden,68,35
14 new cases and 4 new deaths in Denmark,Denmark,14,4
165 new cases and 3 new deaths in the Netherlands,the Netherlands,165,3
14 new cases in Mali,Mali,14,0
17 new cases in Albania,Albania,17,0
127 new cases and 3 new deaths in the Republic of North Macedonia,the Republic of North Macedonia,127,3
"1,368 new cases and 3 new deaths in Qatar",Qatar,1368,3
136 new cases in Ethiopia,Ethiopia,136,0
3 new cases in Vietnam,Vietnam,3,0
7 new cases in San Marino,San Marino,7,0
662 new cases and 5 new deaths in Kuwait,Kuwait,662,5
1 new case in Malta,Malta,1,0
"2,043 new cases and 70 new deaths in Iran",Iran,2043,70
7 new cases and 2 new deaths in Switzerland,Switzerland,7,2
31 new cases and 1 new death in Bosnia and Herzegovina,Bosnia and Herzegovina,31,1
27 new cases and 1 new death in Benin,Benin,27,1
314 new cases and 1 new death in Nepal,Nepal,314,1
99 new cases in Senegal,Senegal,99,0
42 new cases in Madagascar,Madagascar,42,0
604 new cases and 6 new deaths in Oman,Oman,604,6
66 new cases in Austria,Austria,66,0
30 new cases in Uganda,Uganda,30,0
823 new cases and 7 new deaths in Belarus,Belarus,823,7
"1 new case in China, Hong Kong SAR","China, Hong Kong SAR",1,0
287 new cases and 5 new deaths in South Sudan,South Sudan,287,5
579 new cases and 8 new deaths in the Philippines,the Philippines,579,8
7 new cases in Malaysia,Malaysia,7,0
122 new cases and 11 new deaths in Belgium,Belgium,122,11
20 new cases in Finland,Finland,20,0
847 new cases and 32 new deaths in Indonesia,Indonesia,847,32
26 new cases in Morocco,Morocco,26,0
90 new cases and 3 new deaths in the DR Congo,the DR Congo,90,3
"2,735 new cases and 42 new deaths in Bangladesh",Bangladesh,2735,42
89 new cases and 2 new deaths in El Salvador,El Salvador,89,2
2 new cases in Namibia,Namibia,2,0
5 new deaths in Moldova,Moldova,5,0
6 new cases in Lithuania,Lithuania,6,0
2 new cases in Slovakia,Slovakia,2,0
1 new case in Estonia,Estonia,1,0
"8,985 new cases and 112 new deaths in Russia",Russia,8985,112
386 new cases in Singapore,Singapore,386,0
463 new cases and 9 new deaths in Ukraine,Ukraine,463,9
1 new case and 1 new death in Czechia,Czechia,1,1
1 new death in Latvia,Latvia,1,0
6 new cases and 2 new deaths in Hungary,Hungary,6,2
195 new cases and 11 new deaths in Armenia,Armenia,195,11
575 new cases and 12 new deaths in Afghanistan,Afghanistan,575,12
21 new cases in Uzbekistan,Uzbekistan,21,0
52 new cases in Israel,Israel,52,0
1 new case in Myanmar,Myanmar,1,0
"
 1 new recovery (the last remaining case) in New Zealand:  Today the Ministry of Health is very pleased to report no active cases of COVID-19 in New Zealand [...] for the first time since February 28 [...] It is now 17 days since the last new case was reported",New Zealand:  Today the Ministry of Health is very pleased to report no active cases of COVID-19,1,0
"
7 new cases in Thailand",Thailand,7,0
25 new cases and 1 new death in Kyrgyzstan,Kyrgyzstan,25,1
165 new cases and 3 new deaths in Kazakhstan,Kazakhstan,165,3
"4,728 new cases and 65 new deaths in Pakistan",Pakistan,4728,65
1 new case in Mongolia,Mongolia,1,0
262 new cases and 1 new death in Haiti,Haiti,262,1
11 new cases in Bhutan,Bhutan,11,0
285 new cases and 11 new deaths in Bolivia,Bolivia,285,11
172 new cases and 8 new deaths in Honduras,Honduras,172,8
5 new cases in Australia,Australia,5,0
263 new cases and 22 new deaths in Guatemala,Guatemala,263,22
38 new cases in South Korea,South Korea,38,0
2 new cases in Jamaica,Jamaica,2,0
"3,484 new cases and 188 new deaths in Mexico",Mexico,3484,188
4 new cases in China,China,4,0
